Date : 2023-03-21 15:18:44
Directory : f:\研究生学习\编程学习\my_projects\model_library_ts
Total : 139 files,  42096 codes, 903 comments, 850 blanks, all 43849 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     36,186 |          0 |          3 |     36,189 |
| TypeScript JSX     |         47 |      2,242 |        142 |        227 |      2,611 |
| TypeScript         |         35 |      1,331 |        344 |        229 |      1,904 |
| JavaScript         |         15 |      1,327 |        381 |        155 |      1,863 |
| SCSS               |         29 |        745 |         13 |        143 |        901 |
| Markdown           |          3 |        186 |          0 |         89 |        275 |
| XML                |          3 |         30 |          0 |          0 |         30 |
| JSON with Comments |          1 |         26 |          0 |          1 |         27 |
| HTML               |          1 |         18 |         23 |          3 |         44 |
| CSS                |          1 |          4 |          0 |          0 |          4 |
| Properties         |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |        139 |     42,096 |        903 |        850 |     43,849 |
| . (Files)                                                                                                  |          6 |     36,216 |          1 |         24 |     36,241 |
| config                                                                                                     |         10 |        983 |        335 |        105 |      1,423 |
| config (Files)                                                                                             |          6 |        911 |        328 |         88 |      1,327 |
| config\jest                                                                                                |          3 |         65 |          7 |         14 |         86 |
| config\webpack                                                                                             |          1 |          7 |          0 |          3 |         10 |
| config\webpack\persistentCache                                                                             |          1 |          7 |          0 |          3 |         10 |
| public                                                                                                     |          3 |         47 |         23 |          4 |         74 |
| scripts                                                                                                    |          3 |        332 |         45 |         49 |        426 |
| src                                                                                                        |        117 |      4,518 |        499 |        668 |      5,685 |
| src (Files)                                                                                                |          6 |        152 |         13 |         37 |        202 |
| src\app                                                                                                    |          9 |        415 |         25 |         32 |        472 |
| src\app (Files)                                                                                            |          6 |        385 |         25 |         32 |        442 |
| src\app\icons                                                                                              |          3 |         30 |          0 |          0 |         30 |
| src\components                                                                                             |         32 |        920 |         43 |        145 |      1,108 |
| src\components\CategoryLabel                                                                               |          2 |         42 |          0 |          9 |         51 |
| src\components\CodeDisplay                                                                                 |          2 |        173 |         15 |         26 |        214 |
| src\components\CodeEditor                                                                                  |          2 |         51 |          2 |         12 |         65 |
