"filename", "language", "TypeScript JSX", "TypeScript", "SCSS", "Markdown", "comment", "blank", "total"
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\LabelConversionArray.ts", "TypeScript", 0, -2, 0, 0, 0, -1, -3
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\labelConversionArray.ts", "TypeScript", 0, 9, 0, 0, 0, 1, 10
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\mock.ts", "TypeScript", 0, 99, 0, 0, 1, 9, 109
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeDisplay\index.scss", "SCSS", 0, 0, -23, 0, 0, -6, -29
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeDisplay\index.tsx", "TypeScript JSX", -1, 0, 0, 0, 0, 1, 0
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeEditBox\index.scss", "SCSS", 0, 0, 45, 0, 0, 15, 60
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeEditBox\index.tsx", "TypeScript JSX", 82, 0, 0, 0, 1, 3, 86
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeEditor\index.scss", "SCSS", 0, 0, 45, 0, 3, 11, 59
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeEditor\index.tsx", "TypeScript JSX", 79, 0, 0, 0, 10, -1, 88
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\DatasetItem\index.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 6
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\DiffComponent\index.scss", "SCSS", 0, 0, 10, 0, 0, 1, 11
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\DiffComponent\index.tsx", "TypeScript JSX", -1, 0, 0, 0, 4, 1, 4
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\FilesTableHeader\index.tsx", "TypeScript JSX", 3, 0, 0, 0, 0, 0, 3
