"filename", "language", "JSON with Comments", "JSON", "JavaScript", "TypeScript", "Markdown", "HTML", "CSS", "TypeScript JSX", "SCSS", "XML", "Properties", "comment", "blank", "total"
"f:\研究生学习\编程学习\my_projects\model_library_ts\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"f:\研究生学习\编程学习\my_projects\model_library_ts\README.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 21, 47
"f:\研究生学习\编程学习\my_projects\model_library_ts\config\env.js", "JavaScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 35, 11, 105
"f:\研究生学习\编程学习\my_projects\model_library_ts\config\getHttpsConfig.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 67
"f:\研究生学习\编程学习\my_projects\model_library_ts\config\jest\babelTransform.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"f:\研究生学习\编程学习\my_projects\model_library_ts\config\jest\cssTransform.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 15
"f:\研究生学习\编程学习\my_projects\model_library_ts\config\jest\fileTransform.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 41
"f:\研究生学习\编程学习\my_projects\model_library_ts\config\modules.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 30, 25, 135
"f:\研究生学习\编程学习\my_projects\model_library_ts\config\paths.js", "JavaScript", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 10, 13, 78
"f:\研究生学习\编程学习\my_projects\model_library_ts\config\webpack.config.js", "JavaScript", 0, 0, 603, 0, 0, 0, 0, 0, 0, 0, 0, 188, 23, 814
"f:\研究生学习\编程学习\my_projects\model_library_ts\config\webpackDevServer.config.js", "JavaScript", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 58, 7, 128
"f:\研究生学习\编程学习\my_projects\model_library_ts\config\webpack\persistentCache\createEnvironmentHash.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
